win_lose,y_col,y_row,r_col,r_row,y_def,y_n,y_atk,r_def,r_n,r_atk,turn,g_type
Draw,3.95,3.62,4.05,3.38,33.33333333333333%,57.14285714285714%,9.523809523809524%,42.857142857142854%,57.14285714285714%,0.0%,42,Sim
Win,2.71,3.14,3.85,2.38,35.714285714285715%,50.0%,14.285714285714285%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Lose,2.83,1.67,2.33,2.17,16.666666666666664%,83.33333333333334%,0.0%,0.0%,83.33333333333334%,16.666666666666664%,12,Sim
Win,3.67,2.67,3.64,2.27,33.33333333333333%,58.333333333333336%,8.333333333333332%,27.27272727272727%,63.63636363636363%,9.090909090909092%,23,Sim
Lose,4.09,1.91,3.55,2.55,18.181818181818183%,72.72727272727273%,9.090909090909092%,45.45454545454545%,54.54545454545454%,0.0%,22,Sim
Lose,3.33,3.2,3.53,2.73,46.666666666666664%,53.333333333333336%,0.0%,26.666666666666668%,60.0%,13.333333333333334%,30,Sim
Win,3.83,2,2.8,1.8,50.0%,33.33333333333333%,16.666666666666664%,0.0%,80.0%,20.0%,11,Sim
Lose,4.78,2.11,5.44,2.56,44.44444444444444%,55.55555555555556%,0.0%,22.22222222222222%,66.66666666666666%,11.11111111111111%,18,Sim
Lose,4.26,3.11,4.16,3.47,36.84210526315789%,57.89473684210527%,5.263157894736842%,42.10526315789473%,47.368421052631575%,10.526315789473683%,38,Sim
Win,3.69,2.69,4.08,2.67,23.076923076923077%,61.53846153846154%,15.384615384615385%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Draw,3.9,3.48,4.1,3.52,23.809523809523807%,61.904761904761905%,14.285714285714285%,57.14285714285714%,42.857142857142854%,0.0%,42,Sim
Win,3.93,2.86,3.46,2.77,35.714285714285715%,50.0%,14.285714285714285%,53.84615384615385%,38.46153846153847%,7.6923076923076925%,27,Sim
Lose,4,2.8,4.13,2.87,20.0%,73.33333333333333%,6.666666666666667%,20.0%,66.66666666666666%,13.333333333333334%,30,Sim
Lose,3.71,2,4,1.86,42.857142857142854%,57.14285714285714%,0.0%,14.285714285714285%,57.14285714285714%,28.57142857142857%,14,Sim
Win,4.6,2.73,4.14,3.29,26.666666666666668%,66.66666666666666%,6.666666666666667%,35.714285714285715%,57.14285714285714%,7.142857142857142%,29,Sim
Win,4.62,1.75,4,1.57,12.5%,75.0%,12.5%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Win,5,2.22,5.25,2.25,11.11111111111111%,77.77777777777779%,11.11111111111111%,37.5%,62.5%,0.0%,17,Sim
Lose,3.83,2.42,4.33,2.33,41.66666666666667%,50.0%,8.333333333333332%,50.0%,33.33333333333333%,16.666666666666664%,24,Sim
Lose,4.38,2.38,4.92,3,23.076923076923077%,53.84615384615385%,23.076923076923077%,46.15384615384615%,46.15384615384615%,7.6923076923076925%,26,Sim
Win,4.29,2.79,4,2.69,35.714285714285715%,50.0%,14.285714285714285%,46.15384615384615%,53.84615384615385%,0.0%,27,Sim
Win,4.41,3,4.06,3.31,23.52941176470588%,64.70588235294117%,11.76470588235294%,56.25%,43.75%,0.0%,33,Sim
Lose,3.79,2.64,4.29,2.79,35.714285714285715%,64.28571428571429%,0.0%,42.857142857142854%,50.0%,7.142857142857142%,28,Sim
Lose,4,2.93,4.64,2.5,21.428571428571427%,78.57142857142857%,0.0%,7.142857142857142%,85.71428571428571%,7.142857142857142%,28,Sim
Win,3.54,2.54,4.42,2.92,23.076923076923077%,46.15384615384615%,30.76923076923077%,66.66666666666666%,33.33333333333333%,0.0%,25,Sim
Win,4.62,2.31,4,2.67,46.15384615384615%,46.15384615384615%,7.6923076923076925%,33.33333333333333%,58.333333333333336%,8.333333333333332%,25,Sim
Win,3.93,2.8,4.21,3.14,33.33333333333333%,53.333333333333336%,13.333333333333334%,28.57142857142857%,71.42857142857143%,0.0%,29,Sim
Lose,3.78,2.94,4.39,3.28,66.66666666666666%,33.33333333333333%,0.0%,27.77777777777778%,55.55555555555556%,16.666666666666664%,36,Sim
Win,4.38,3.06,4.13,3.07,31.25%,62.5%,6.25%,20.0%,66.66666666666666%,13.333333333333334%,31,Sim
Draw,4.14,3.48,3.86,3.52,28.57142857142857%,71.42857142857143%,0.0%,42.857142857142854%,57.14285714285714%,0.0%,42,Sim
Win,3.5,2.9,3.22,2.56,20.0%,70.0%,10.0%,11.11111111111111%,88.88888888888889%,0.0%,19,Sim
Win,5,2,4,2,0.0%,71.42857142857143%,28.57142857142857%,50.0%,50.0%,0.0%,13,Sim
Win,3.2,2.5,3.56,2,30.0%,60.0%,10.0%,22.22222222222222%,77.77777777777779%,0.0%,19,Sim
Win,3.56,2.94,3.73,2.73,31.25%,56.25%,12.5%,33.33333333333333%,66.66666666666666%,0.0%,31,Sim
Win,3.9,2,4,2.44,10.0%,60.0%,30.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Win,4.12,2.88,4.27,3,18.75%,75.0%,6.25%,33.33333333333333%,66.66666666666666%,0.0%,31,Sim
Win,3.87,3.4,4.5,3.14,26.666666666666668%,60.0%,13.333333333333334%,21.428571428571427%,71.42857142857143%,7.142857142857142%,29,Sim
Lose,5,2.56,5.11,2.44,22.22222222222222%,77.77777777777779%,0.0%,22.22222222222222%,55.55555555555556%,22.22222222222222%,18,Sim
Lose,4.71,2.5,4.5,3.64,35.714285714285715%,64.28571428571429%,0.0%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Win,3.73,2.55,4,2.5,27.27272727272727%,54.54545454545454%,18.181818181818183%,30.0%,60.0%,10.0%,21,Sim
Lose,3.36,2.86,3.21,3.29,0.0%,100.0%,0.0%,14.285714285714285%,78.57142857142857%,7.142857142857142%,28,Sim
Lose,3,2.33,2.89,2.44,44.44444444444444%,55.55555555555556%,0.0%,22.22222222222222%,33.33333333333333%,44.44444444444444%,18,Sim
Win,4.1,1.7,4.44,2.22,20.0%,70.0%,10.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Win,4.58,2.67,3.82,2.09,33.33333333333333%,50.0%,16.666666666666664%,18.181818181818183%,63.63636363636363%,18.181818181818183%,23,Sim
Win,3.94,3.06,3.5,3.38,29.411764705882355%,58.82352941176471%,11.76470588235294%,18.75%,81.25%,0.0%,33,Sim
Win,3.86,2.79,3.69,2.92,21.428571428571427%,64.28571428571429%,14.285714285714285%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Lose,3.91,2.18,4.36,2.27,45.45454545454545%,54.54545454545454%,0.0%,18.181818181818183%,81.81818181818183%,0.0%,22,Sim
Lose,3.14,2.14,2.57,1.86,42.857142857142854%,57.14285714285714%,0.0%,14.285714285714285%,71.42857142857143%,14.285714285714285%,14,Sim
Win,3.83,3,3.88,3.41,27.77777777777778%,61.111111111111114%,11.11111111111111%,41.17647058823529%,58.82352941176471%,0.0%,35,Sim
Win,3.5,3,4.35,3.18,22.22222222222222%,61.111111111111114%,16.666666666666664%,47.05882352941176%,47.05882352941176%,5.88235294117647%,35,Sim
Win,5.25,2.92,5,2.64,16.666666666666664%,58.333333333333336%,25.0%,54.54545454545454%,45.45454545454545%,0.0%,23,Sim
Win,3.83,2.94,3.71,3.47,22.22222222222222%,72.22222222222221%,5.555555555555555%,35.294117647058826%,58.82352941176471%,5.88235294117647%,35,Sim
Win,4.36,2.36,3.6,2.3,18.181818181818183%,72.72727272727273%,9.090909090909092%,30.0%,60.0%,10.0%,21,Sim
Draw,3.9,3.38,4.1,3.62,23.809523809523807%,76.19047619047619%,0.0%,42.857142857142854%,57.14285714285714%,0.0%,42,Sim
Lose,3.2,2.93,4.07,2.93,26.666666666666668%,73.33333333333333%,0.0%,13.333333333333334%,80.0%,6.666666666666667%,30,Sim
Lose,4,3.25,4,3.55,25.0%,75.0%,0.0%,40.0%,55.00000000000001%,5.0%,40,Sim
Lose,4,2.5,3.36,2.93,21.428571428571427%,71.42857142857143%,7.142857142857142%,28.57142857142857%,57.14285714285714%,14.285714285714285%,28,Sim
Win,4.46,2.62,4.42,2.92,23.076923076923077%,61.53846153846154%,15.384615384615385%,33.33333333333333%,50.0%,16.666666666666664%,25,Sim
Win,3.93,3.57,4.08,2.31,42.857142857142854%,57.14285714285714%,0.0%,30.76923076923077%,69.23076923076923%,0.0%,27,Sim
Draw,4.1,3.38,3.9,3.62,38.095238095238095%,61.904761904761905%,0.0%,33.33333333333333%,61.904761904761905%,4.761904761904762%,42,Sim
Lose,4,3,3.76,3,47.05882352941176%,52.94117647058824%,0.0%,41.17647058823529%,47.05882352941176%,11.76470588235294%,34,Sim
Win,3.73,2.67,4.29,2.86,20.0%,66.66666666666666%,13.333333333333334%,42.857142857142854%,50.0%,7.142857142857142%,29,Sim
Lose,3.11,2.11,3.22,2.22,22.22222222222222%,77.77777777777779%,0.0%,33.33333333333333%,44.44444444444444%,22.22222222222222%,18,Sim
Lose,4.12,2.62,3.69,3.19,25.0%,68.75%,6.25%,31.25%,62.5%,6.25%,32,Sim
Win,3.62,3,4.33,2.58,23.076923076923077%,61.53846153846154%,15.384615384615385%,16.666666666666664%,83.33333333333334%,0.0%,25,Sim
Lose,3.64,2.5,4.14,2.86,7.142857142857142%,85.71428571428571%,7.142857142857142%,21.428571428571427%,71.42857142857143%,7.142857142857142%,28,Sim
Win,5.29,2,4.67,1.67,28.57142857142857%,57.14285714285714%,14.285714285714285%,16.666666666666664%,83.33333333333334%,0.0%,13,Sim
Win,3.82,2.88,3.75,3,29.411764705882355%,52.94117647058824%,17.647058823529413%,31.25%,68.75%,0.0%,33,Sim
Lose,4.9,2,4.1,2.5,20.0%,80.0%,0.0%,60.0%,40.0%,0.0%,20,Sim
Win,2.88,1.62,3.86,2.14,0.0%,87.5%,12.5%,57.14285714285714%,42.857142857142854%,0.0%,15,Sim
Win,4.69,2.31,4.83,3.33,0.0%,92.3076923076923%,7.6923076923076925%,16.666666666666664%,83.33333333333334%,0.0%,25,Sim
Win,3.93,2.64,3.62,3.08,28.57142857142857%,64.28571428571429%,7.142857142857142%,23.076923076923077%,76.92307692307693%,0.0%,27,Sim
Lose,3.67,2.33,4.25,2.25,41.66666666666667%,50.0%,8.333333333333332%,50.0%,41.66666666666667%,8.333333333333332%,24,Sim
Lose,3.92,2.77,3.62,2.77,30.76923076923077%,53.84615384615385%,15.384615384615385%,30.76923076923077%,61.53846153846154%,7.6923076923076925%,26,Sim
Win,3.71,2.79,3.54,2.92,21.428571428571427%,71.42857142857143%,7.142857142857142%,46.15384615384615%,53.84615384615385%,0.0%,27,Sim
Win,3.33,2.93,3.36,3.07,20.0%,73.33333333333333%,6.666666666666667%,21.428571428571427%,78.57142857142857%,0.0%,29,Sim
Win,3.72,3.11,4.41,3.12,16.666666666666664%,72.22222222222221%,11.11111111111111%,35.294117647058826%,64.70588235294117%,0.0%,35,Sim
Win,3.25,2.83,3,2.91,25.0%,66.66666666666666%,8.333333333333332%,54.54545454545454%,45.45454545454545%,0.0%,23,Sim
Lose,5.11,2.11,4.22,2.67,0.0%,100.0%,0.0%,33.33333333333333%,66.66666666666666%,0.0%,18,Sim
Win,3.84,3.32,3.5,3.22,42.10526315789473%,52.63157894736842%,5.263157894736842%,44.44444444444444%,55.55555555555556%,0.0%,37,Sim
Lose,3.88,1.75,3.12,1.88,12.5%,87.5%,0.0%,12.5%,62.5%,25.0%,16,Sim
Lose,3.94,3.28,3.67,3,38.88888888888889%,61.111111111111114%,0.0%,33.33333333333333%,61.111111111111114%,5.555555555555555%,36,Sim
Lose,4,3.26,3.74,3.26,31.57894736842105%,63.1578947368421%,5.263157894736842%,15.789473684210526%,78.94736842105263%,5.263157894736842%,38,Sim
Lose,3.89,3.11,4.11,3.11,27.77777777777778%,72.22222222222221%,0.0%,38.88888888888889%,50.0%,11.11111111111111%,36,Sim
Win,4.18,2.45,4.9,2.8,27.27272727272727%,54.54545454545454%,18.181818181818183%,40.0%,60.0%,0.0%,21,Sim
Win,3.5,2.2,4.11,2.22,50.0%,40.0%,10.0%,44.44444444444444%,33.33333333333333%,22.22222222222222%,19,Sim
Lose,4.33,3.2,4.13,2.53,40.0%,60.0%,0.0%,13.333333333333334%,80.0%,6.666666666666667%,30,Sim
Win,4.21,2.5,3.92,2.77,21.428571428571427%,71.42857142857143%,7.142857142857142%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,27,Sim
Lose,4,1.89,3.56,2.22,44.44444444444444%,55.55555555555556%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Lose,2.83,1.83,3,1.67,33.33333333333333%,66.66666666666666%,0.0%,16.666666666666664%,50.0%,33.33333333333333%,12,Sim
Lose,3.47,3.2,4.27,2.93,33.33333333333333%,66.66666666666666%,0.0%,20.0%,73.33333333333333%,6.666666666666667%,30,Sim
Win,3.44,1.78,4.75,2,0.0%,77.77777777777779%,22.22222222222222%,62.5%,37.5%,0.0%,17,Sim
Lose,4.78,2.33,4.33,2.78,55.55555555555556%,44.44444444444444%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Win,4.8,2.67,4.43,3,46.666666666666664%,40.0%,13.333333333333334%,50.0%,28.57142857142857%,21.428571428571427%,29,Sim
Lose,3.14,2.14,3,2.57,14.285714285714285%,42.857142857142854%,42.857142857142854%,57.14285714285714%,28.57142857142857%,14.285714285714285%,14,Sim
Lose,4.12,3.06,3.88,2.69,37.5%,62.5%,0.0%,31.25%,62.5%,6.25%,32,Sim
Lose,4.57,2.79,4.5,2.79,35.714285714285715%,64.28571428571429%,0.0%,42.857142857142854%,50.0%,7.142857142857142%,28,Sim
Win,3.45,2.18,3.7,2.4,9.090909090909092%,54.54545454545454%,36.36363636363637%,50.0%,50.0%,0.0%,21,Sim
Lose,4.16,3.42,4.47,3.37,21.052631578947366%,73.68421052631578%,5.263157894736842%,31.57894736842105%,63.1578947368421%,5.263157894736842%,38,Sim
Win,4.64,2.86,4.31,2.54,21.428571428571427%,71.42857142857143%,7.142857142857142%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Draw,4.19,3.38,3.81,3.62,33.33333333333333%,66.66666666666666%,0.0%,47.61904761904761%,47.61904761904761%,4.761904761904762%,42,Sim
Win,3.89,3.26,4.17,3.22,15.789473684210526%,73.68421052631578%,10.526315789473683%,27.77777777777778%,66.66666666666666%,5.555555555555555%,37,Sim
Win,4.13,2.93,4.5,2.71,40.0%,53.333333333333336%,6.666666666666667%,50.0%,50.0%,0.0%,29,Sim
Lose,3.67,1.78,3.78,2.11,44.44444444444444%,55.55555555555556%,0.0%,22.22222222222222%,55.55555555555556%,22.22222222222222%,18,Sim
Win,3.9,2.2,3.33,2.33,10.0%,70.0%,20.0%,44.44444444444444%,55.55555555555556%,0.0%,19,Sim
Lose,3.33,1.89,2.78,2.44,11.11111111111111%,88.88888888888889%,0.0%,22.22222222222222%,66.66666666666666%,11.11111111111111%,18,Sim
Win,3.42,2.67,3.27,2.55,50.0%,41.66666666666667%,8.333333333333332%,45.45454545454545%,45.45454545454545%,9.090909090909092%,23,Sim
Lose,3.83,2,3.5,2.17,16.666666666666664%,66.66666666666666%,16.666666666666664%,50.0%,33.33333333333333%,16.666666666666664%,12,Sim
Win,4.77,2.69,4.58,2.75,23.076923076923077%,69.23076923076923%,7.6923076923076925%,25.0%,75.0%,0.0%,25,Sim
Lose,3.84,3.32,4.16,3.47,21.052631578947366%,73.68421052631578%,5.263157894736842%,21.052631578947366%,73.68421052631578%,5.263157894736842%,38,Sim
Win,3.75,2.42,3.82,2.27,25.0%,66.66666666666666%,8.333333333333332%,36.36363636363637%,54.54545454545454%,9.090909090909092%,23,Sim
Win,4.05,3.53,3.78,2.94,42.10526315789473%,42.10526315789473%,15.789473684210526%,38.88888888888889%,55.55555555555556%,5.555555555555555%,37,Sim
Win,3.86,1.86,3.83,2,14.285714285714285%,57.14285714285714%,28.57142857142857%,50.0%,50.0%,0.0%,13,Sim
Lose,4.31,2.69,4.77,2.54,30.76923076923077%,69.23076923076923%,0.0%,15.384615384615385%,76.92307692307693%,7.6923076923076925%,26,Sim
Win,4.62,2.12,4.43,1.86,25.0%,62.5%,12.5%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Lose,4.58,2.5,4.42,2.33,41.66666666666667%,58.333333333333336%,0.0%,41.66666666666667%,33.33333333333333%,25.0%,24,Sim
Win,3.08,2.42,3.91,2.36,16.666666666666664%,66.66666666666666%,16.666666666666664%,27.27272727272727%,72.72727272727273%,0.0%,23,Sim
Win,4.09,2.27,3.7,2.3,0.0%,90.9090909090909%,9.090909090909092%,40.0%,60.0%,0.0%,21,Sim
Lose,4.5,2,3.88,1.88,50.0%,50.0%,0.0%,12.5%,62.5%,25.0%,16,Sim
Lose,4.31,2.38,4.85,2.77,23.076923076923077%,76.92307692307693%,0.0%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,26,Sim
Win,4.38,3.23,4.42,2.75,23.076923076923077%,69.23076923076923%,7.6923076923076925%,41.66666666666667%,58.333333333333336%,0.0%,25,Sim
Win,3,2.22,2.88,2.25,22.22222222222222%,55.55555555555556%,22.22222222222222%,62.5%,37.5%,0.0%,17,Sim
Lose,5,2.3,4.1,2.3,10.0%,90.0%,0.0%,30.0%,60.0%,10.0%,20,Sim
Win,4.82,2.55,5.3,2.6,45.45454545454545%,45.45454545454545%,9.090909090909092%,50.0%,30.0%,20.0%,21,Sim
Lose,3.91,3.09,4.55,2.64,27.27272727272727%,72.72727272727273%,0.0%,36.36363636363637%,54.54545454545454%,9.090909090909092%,22,Sim
Win,4.56,3.19,4.47,2.67,25.0%,68.75%,6.25%,26.666666666666668%,73.33333333333333%,0.0%,31,Sim
Lose,3.7,3.2,4.2,3.6,15.0%,80.0%,5.0%,25.0%,70.0%,5.0%,40,Sim
Lose,4.36,2.73,4.45,2.27,27.27272727272727%,72.72727272727273%,0.0%,18.181818181818183%,72.72727272727273%,9.090909090909092%,22,Sim
Win,4.38,2.75,3.27,3.13,12.5%,75.0%,12.5%,26.666666666666668%,66.66666666666666%,6.666666666666667%,31,Sim
Lose,3.83,2.17,3.83,2.75,33.33333333333333%,66.66666666666666%,0.0%,16.666666666666664%,75.0%,8.333333333333332%,24,Sim
Win,3.71,1.57,3.67,1.83,0.0%,57.14285714285714%,42.857142857142854%,83.33333333333334%,16.666666666666664%,0.0%,13,Sim
Win,3.54,3,3.58,2.58,15.384615384615385%,69.23076923076923%,15.384615384615385%,16.666666666666664%,75.0%,8.333333333333332%,25,Sim
Win,4,2.5,4.54,3,14.285714285714285%,78.57142857142857%,7.142857142857142%,30.76923076923077%,69.23076923076923%,0.0%,27,Sim
Win,4.15,3.5,4.11,3.16,40.0%,50.0%,10.0%,42.10526315789473%,57.89473684210527%,0.0%,39,Sim
Lose,4.73,2.36,3.82,2.27,18.181818181818183%,81.81818181818183%,0.0%,27.27272727272727%,54.54545454545454%,18.181818181818183%,22,Sim
Win,3.79,2.79,4.31,3.23,42.857142857142854%,42.857142857142854%,14.285714285714285%,46.15384615384615%,38.46153846153847%,15.384615384615385%,27,Sim
Lose,3.89,1.78,3.11,2.67,44.44444444444444%,55.55555555555556%,0.0%,11.11111111111111%,55.55555555555556%,33.33333333333333%,18,Sim
Win,3.4,3.07,4.14,2.71,26.666666666666668%,60.0%,13.333333333333334%,21.428571428571427%,78.57142857142857%,0.0%,29,Sim
Draw,4.14,3.43,3.86,3.57,28.57142857142857%,71.42857142857143%,0.0%,33.33333333333333%,57.14285714285714%,9.523809523809524%,42,Sim
Lose,4.4,2.3,5.6,2.6,60.0%,40.0%,0.0%,20.0%,60.0%,20.0%,20,Sim
Lose,3.22,2.56,4.56,2.22,22.22222222222222%,77.77777777777779%,0.0%,22.22222222222222%,55.55555555555556%,22.22222222222222%,18,Sim
Win,3.75,2.94,3.8,3.4,25.0%,68.75%,6.25%,26.666666666666668%,60.0%,13.333333333333334%,31,Sim
Win,4.46,2.69,5,2.75,15.384615384615385%,76.92307692307693%,7.6923076923076925%,25.0%,66.66666666666666%,8.333333333333332%,25,Sim
Win,3.6,1.2,3.5,1.75,0.0%,60.0%,40.0%,50.0%,50.0%,0.0%,9,Sim
Win,4.07,2.79,4.23,2.38,28.57142857142857%,42.857142857142854%,28.57142857142857%,46.15384615384615%,53.84615384615385%,0.0%,27,Sim
Win,4.06,2.69,3.4,3.07,12.5%,81.25%,6.25%,40.0%,60.0%,0.0%,31,Sim
Lose,4.33,1.67,4.67,2.17,0.0%,83.33333333333334%,16.666666666666664%,33.33333333333333%,50.0%,16.666666666666664%,12,Sim
Win,4.08,2.75,3.36,2.36,8.333333333333332%,75.0%,16.666666666666664%,45.45454545454545%,45.45454545454545%,9.090909090909092%,23,Sim
Lose,4.11,3.11,4.53,3.68,42.10526315789473%,52.63157894736842%,5.263157894736842%,52.63157894736842%,42.10526315789473%,5.263157894736842%,38,Sim
Win,3.78,3.17,4.18,3.06,16.666666666666664%,72.22222222222221%,11.11111111111111%,35.294117647058826%,64.70588235294117%,0.0%,35,Sim
Draw,3.67,3.43,4.33,3.57,28.57142857142857%,71.42857142857143%,0.0%,23.809523809523807%,71.42857142857143%,4.761904761904762%,42,Sim
Draw,4.62,3.33,3.38,3.67,28.57142857142857%,61.904761904761905%,9.523809523809524%,33.33333333333333%,57.14285714285714%,9.523809523809524%,42,Sim
Lose,3.9,2.1,3.4,2.4,30.0%,60.0%,10.0%,50.0%,40.0%,10.0%,20,Sim
Lose,2.9,2.2,3.3,2.6,20.0%,70.0%,10.0%,40.0%,30.0%,30.0%,20,Sim
Lose,3.78,2.56,3.78,1.78,22.22222222222222%,77.77777777777779%,0.0%,44.44444444444444%,44.44444444444444%,11.11111111111111%,18,Sim
